timestamp	county	file_number	measure_names	provider_name	measure_values
1595509201	ALACHUA	100113	Available	UF HEALTH SHANDS HOSPITAL	187
1595509201	ALACHUA	100113	Available Capacity	UF HEALTH SHANDS HOSPITAL	0.178776291
1595509201	ALACHUA	100113	Bed Census	UF HEALTH SHANDS HOSPITAL	859
1595509201	ALACHUA	100113	Total Staffed Bed Capacity	UF HEALTH SHANDS HOSPITAL	1046
1595509201	ALACHUA	100204	Available	NORTH FLORIDA REGIONAL MEDICAL CENTER	26
1595509201	ALACHUA	100204	Available Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER	0.055084746
1595509201	ALACHUA	100204	Bed Census	NORTH FLORIDA REGIONAL MEDICAL CENTER	446
1595509201	ALACHUA	100204	Total Staffed Bed Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER	472
1595509201	ALACHUA	110025	Available	UF HEALTH REHAB HOSPITAL	6
1595509201	ALACHUA	110025	Available Capacity	UF HEALTH REHAB HOSPITAL	0.12
1595509201	ALACHUA	110025	Bed Census	UF HEALTH REHAB HOSPITAL	44
1595509201	ALACHUA	110025	Total Staffed Bed Capacity	UF HEALTH REHAB HOSPITAL	50
1595509201	ALACHUA	120011	Available	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	15
1595509201	ALACHUA	120011	Available Capacity	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0.182926829
1595509201	ALACHUA	120011	Bed Census	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	67
1595509201	ALACHUA	120011	Total Staffed Bed Capacity	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	82
1595509201	ALACHUA	23960071	Available	SELECT SPECIALTY HOSPITAL GAINESVILLE	5
1595509201	ALACHUA	23960071	Available Capacity	SELECT SPECIALTY HOSPITAL GAINESVILLE	0.104166667
1595509201	ALACHUA	23960071	Bed Census	SELECT SPECIALTY HOSPITAL GAINESVILLE	43
1595509201	ALACHUA	23960071	Total Staffed Bed Capacity	SELECT SPECIALTY HOSPITAL GAINESVILLE	48
1595509201	All	All	Available	All	12924
1595509201	All	All	Available Capacity	All	0.213126649
1595509201	All	All	Bed Census	All	47716
1595509201	All	All	Total Staffed Bed Capacity	All	60640
1595509201	BAKER	100134	Available	ED FRASER MEMORIAL HOSPITAL	10
1595509201	BAKER	100134	Available Capacity	ED FRASER MEMORIAL HOSPITAL	0.833333333
1595509201	BAKER	100134	Bed Census	ED FRASER MEMORIAL HOSPITAL	2
1595509201	BAKER	100134	Total Staffed Bed Capacity	ED FRASER MEMORIAL HOSPITAL	12
1595509201	BAKER	104007	Available	NORTHEAST FLORIDA STATE HOSPITAL	502
1595509201	BAKER	104007	Available Capacity	NORTHEAST FLORIDA STATE HOSPITAL	0.818923328
1595509201	BAKER	104007	Bed Census	NORTHEAST FLORIDA STATE HOSPITAL	111
1595509201	BAKER	104007	Total Staffed Bed Capacity	NORTHEAST FLORIDA STATE HOSPITAL	613
1595509201	BAY	100026	Available	ASCENSION SACRED HEART BAY	30
1595509201	BAY	100026	Available Capacity	ASCENSION SACRED HEART BAY	0.169491525
1595509201	BAY	100026	Bed Census	ASCENSION SACRED HEART BAY	147
1595509201	BAY	100026	Total Staffed Bed Capacity	ASCENSION SACRED HEART BAY	177
1595509201	BAY	100242	Available	GULF COAST REGIONAL MEDICAL CENTER	29
1595509201	BAY	100242	Available Capacity	GULF COAST REGIONAL MEDICAL CENTER	0.124463519
1595509201	BAY	100242	Bed Census	GULF COAST REGIONAL MEDICAL CENTER	204
1595509201	BAY	100242	Total Staffed Bed Capacity	GULF COAST REGIONAL MEDICAL CENTER	233
1595509201	BAY	110034	Available	EMERALD COAST BEHAVIORAL HOSPITAL	24
1595509201	BAY	110034	Available Capacity	EMERALD COAST BEHAVIORAL HOSPITAL	0.279069767
1595509201	BAY	110034	Bed Census	EMERALD COAST BEHAVIORAL HOSPITAL	62
1595509201	BAY	110034	Total Staffed Bed Capacity	EMERALD COAST BEHAVIORAL HOSPITAL	86
1595509201	BAY	23960013	Available	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	18
1595509201	BAY	23960013	Available Capacity	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0.321428571
1595509201	BAY	23960013	Bed Census	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	38
1595509201	BAY	23960013	Total Staffed Bed Capacity	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	56
1595509201	BAY	23960045	Available	SELECT SPECIALTY HOSPITAL - PANAMA CITY	23
1595509201	BAY	23960045	Available Capacity	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0.766666667
1595509201	BAY	23960045	Bed Census	SELECT SPECIALTY HOSPITAL - PANAMA CITY	7
1595509201	BAY	23960045	Total Staffed Bed Capacity	SELECT SPECIALTY HOSPITAL - PANAMA CITY	30
1595509201	BRADFORD	100103	Available	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5
1595509201	BRADFORD	100103	Available Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0.5
1595509201	BRADFORD	100103	Bed Census	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5
1595509201	BRADFORD	100103	Total Staffed Bed Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	10
1595509201	BREVARD	100019	Available	HOLMES REGIONAL MEDICAL CENTER	71
1595509201	BREVARD	100019	Available Capacity	HOLMES REGIONAL MEDICAL CENTER	0.141434263
1595509201	BREVARD	100019	Bed Census	HOLMES REGIONAL MEDICAL CENTER	431
1595509201	BREVARD	100019	Total Staffed Bed Capacity	HOLMES REGIONAL MEDICAL CENTER	502
1595509201	BREVARD	100028	Available	PARRISH MEDICAL CENTER	39
1595509201	BREVARD	100028	Available Capacity	PARRISH MEDICAL CENTER	0.228070175
1595509201	BREVARD	100028	Bed Census	PARRISH MEDICAL CENTER	132
1595509201	BREVARD	100028	Total Staffed Bed Capacity	PARRISH MEDICAL CENTER	171
1595509201	BREVARD	100092	Available	ROCKLEDGE REGIONAL MEDICAL CENTER	34
1595509201	BREVARD	100092	Available Capacity	ROCKLEDGE REGIONAL MEDICAL CENTER	0.167487685
